"station_id","station_name","station_address","lat","lon","source","create_year"
"74DA38F7C592","新北市金山高中","N/A","25.224","121.637","NewTaipei18","2018"
"74DA38F2085C","台東縣縣立朗島國小","[952]臺東縣蘭嶼鄉朗島村17號","22.079","121.528","Taitung","2018"
"74DA38F20898","苗栗縣縣立啟文國小","[360]苗栗縣苗栗市福星里啟賢街61號","24.573","120.827","Miaoli","2018"
"08BEAC09FF5E","臺中市立豐田國小","臺中市豐原區田心路二段290號","24.23750147","120.7218282","Taichung19","2019"
"74DA38F20AAC","台東縣縣立瑞豐國小","[955]臺東縣鹿野鄉瑞豐村中山路67號","22.978","121.137","Taitung","2018"
"74DA38F208AE","台東縣縣立興隆國小","[959]臺東縣東河鄉興昌村155號","22.895","121.248","Taitung","2018"
"08BEAC0A03D2","桃園市市立僑愛國小","桃園市大溪區仁義里介壽路214號","24.920825","121.2918322","Taoyuan19","2019"
"74DA38F20AC4","基隆市立隆聖國小","[204]基隆市安樂區武隆街107號","25.155","121.694","Keelung","2018"
"74DA38F20C16","高雄市市立光榮國小","高雄市光榮國小 高雄市鹽埕區大智路150號","22.623","120.286","Kaohsiung18","2018"
"74DA38B05396","嘉義私立宏仁女中","[600]嘉義市東區忠孝路667號","23.506","120.445","Chiayi","2017"
"08BEAC0A042A","臺中市立西屯國小","臺中市西屯區西屯路二段300號","24.179497","120.640677","Taichung19","2019"
"08BEAC0A002E","臺中市立大元國小","臺中市大里區現岱路60號","24.10036882","120.6899251","Taichung19","2019"
"08BEAC0A042E","桃園市市立永順國小","桃園市桃園區永順街100號","25.00851452","121.297329","Taoyuan19","2019"
"08BEAC0A0030","臺中市立潭陽國小","臺中市潭子區潭陽路19號","24.21252","120.7099783","Taichung19","2019"
"08BEAC0A0430","桃園市市立楊光國(中)小","桃園市楊梅區瑞溪路一段88號","24.9067090397","121.168344319","Taoyuan19","2019"
"74DA38C7D388","嘉義市立僑平國小","[600]嘉義市西區德安路10號","23.484","120.432","Chiayi","2017"
"08BEAC0A016E","雲林縣縣立大埤國小","雲林縣大埤鄉南和村中正路廿三號","23.6444244","120.4316231","Yunlin19","2019"
"74DA38C7D51C","新竹市立朝山國小","[300]新竹市香山區中華路五段648巷126號","24.765","120.913","Hsinchu","2017"
"74DA38F2093A","連江縣縣立中山國中","[210]連江縣北竿鄉芹壁村84號","26.224","119.98","Matsu","2018"
"74DA38F20FFC","高雄市市立鳳雄國小","高雄市鳳雄國小 高雄市燕巢區鳳加路52號","22.753","120.358","Kaohsiung18","2018"
"08BEAC0A0854","臺南市市立新民國小","臺南市新營區公園路一段136號","23.3055469506","120.305803567","Tainan19","2019"
"08BEAC0A089E","臺南市市立玉井國小","臺南市玉井區中正路1號","23.12125929","120.4587371","Tainan19","2019"
